error_severity,event_message,id,identifier,timestamp
LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",755c2947-e528-478c-84ec-7ac562490935,vmmpodvzidqucxgizpoi,1743872803014000
LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",5228a97f-474c-44fd-8dbf-477da6d855b1,vmmpodvzidqucxgizpoi,1743872803014000
LOG,connection received: host=2a05:d018:1e14:200:35b7:bd2a:866d:db56 port=48184,003eb18e-644e-4d12-9563-a82bd1f48e5d,vmmpodvzidqucxgizpoi,1743872802863000
LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",45844fe8-2014-4f2c-aa30-fa5bc782ae4e,vmmpodvzidqucxgizpoi,1743872802575000
LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",dab37fd3-b160-4d85-a129-3ac97a95a032,vmmpodvzidqucxgizpoi,1743872802575000
LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",85e0830b-9abf-49a1-9157-5922c9071f46,vmmpodvzidqucxgizpoi,1743872802197000
LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",02fec903-4113-47eb-a4b4-7621728de437,vmmpodvzidqucxgizpoi,1743872802197000
LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",ccce23b4-f625-47f8-84d1-7178d56b0629,vmmpodvzidqucxgizpoi,1743872802055000
LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",a8dc0e59-5699-428b-a05a-ba30b55fe88b,vmmpodvzidqucxgizpoi,1743872802055000
LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",a75ae973-dad9-4bc8-a00b-2e369f4654a0,vmmpodvzidqucxgizpoi,1743872801772000
LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",c53fa3b0-6ba3-414a-9593-432983ecc157,vmmpodvzidqucxgizpoi,1743872801772000
